shift_id,date,start_time,end_time,agents_assigned,team,day_of_week
SHIFT_0058,2024-01-15,10:00,18:00,12,ACAP,Monday
SHIFT_0059,2024-01-15,14:00,22:00,18,ACAP,Monday
SHIFT_0060,2024-01-15,18:00,02:00,6,ACAP,Monday
SHIFT_0061,2024-01-16,06:00,14:00,8,ACAP,Tuesday
SHIFT_0062,2024-01-16,10:00,18:00,12,ACAP,Tuesday
SHIFT_0063,2024-01-16,14:00,22:00,18,ACAP,Tuesday
SHIFT_0064,2024-01-16,18:00,02:00,6,ACAP,Tuesday
SHIFT_0065,2024-01-17,06:00,14:00,8,ACAP,Wednesday
SHIFT_0066,2024-01-17,10:00,18:00,12,ACAP,Wednesday
SHIFT_0067,2024-01-17,14:00,22:00,18,ACAP,Wednesday
SHIFT_0068,2024-01-17,18:00,02:00,6,ACAP,Wednesday
SHIFT_0069,2024-01-18,06:00,14:00,8,ACAP,Thursday
SHIFT_0070,2024-01-18,10:00,18:00,12,ACAP,Thursday
SHIFT_0071,2024-01-18,14:00,22:00,18,ACAP,Thursday
SHIFT_0072,2024-01-18,18:00,02:00,6,ACAP,Thursday
SHIFT_0073,2024-01-19,06:00,14:00,8,ACAP,Friday
SHIFT_0074,2024-01-19,10:00,18:00,12,ACAP,Friday
SHIFT_0075,2024-01-19,14:00,22:00,18,ACAP,Friday
SHIFT_0076,2024-01-19,18:00,02:00,6,ACAP,Friday
SHIFT_0077,2024-01-20,06:00,14:00,6,ACAP,Saturday
SHIFT_0078,2024-01-20,10:00,18:00,9,ACAP,Saturday
SHIFT_0079,2024-01-20,14:00,22:00,14,ACAP,Saturday
SHIFT_0080,2024-01-20,18:00,02:00,4,ACAP,Saturday
SHIFT_0081,2024-01-21,06:00,14:00,6,ACAP,Sunday
SHIFT_0082,2024-01-21,10:00,18:00,9,ACAP,Sunday
SHIFT_0083,2024-01-21,14:00,22:00,14,ACAP,Sunday
SHIFT_0084,2024-01-21,18:00,02:00,4,ACAP,Sunday
SHIFT_0085,2024-01-22,06:00,14:00,8,ACAP,Monday
SHIFT_0086,2024-01-22,10:00,18:00,12,ACAP,Monday
SHIFT_0087,2024-01-22,14:00,22:00,18,ACAP,Monday
SHIFT_0088,2024-01-22,18:00,02:00,6,ACAP,Monday
SHIFT_0089,2024-01-23,06:00,14:00,8,ACAP,Tuesday
SHIFT_0090,2024-01-23,10:00,18:00,12,ACAP,Tuesday
SHIFT_0091,2024-01-23,14:00,22:00,18,ACAP,Tuesday
SHIFT_0092,2024-01-23,18:00,02:00,6,ACAP,Tuesday
SHIFT_0093,2024-01-24,06:00,14:00,8,ACAP,Wednesday
SHIFT_0094,2024-01-24,10:00,18:00,12,ACAP,Wednesday
SHIFT_0095,2024-01-24,14:00,22:00,18,ACAP,Wednesday
SHIFT_0096,2024-01-24,18:00,02:00,6,ACAP,Wednesday
SHIFT_0097,2024-01-25,06:00,14:00,8,ACAP,Thursday
SHIFT_0098,2024-01-25,10:00,18:00,12,ACAP,Thursday
SHIFT_0099,2024-01-25,14:00,22:00,18,ACAP,Thursday
SHIFT_0100,2024-01-25,18:00,02:00,6,ACAP,Thursday
SHIFT_0101,2024-01-26,06:00,14:00,8,ACAP,Friday
SHIFT_0102,2024-01-26,10:00,18:00,12,ACAP,Friday
SHIFT_0103,2024-01-26,14:00,22:00,18,ACAP,Friday
SHIFT_0104,2024-01-26,18:00,02:00,6,ACAP,Friday
SHIFT_0105,2024-01-27,06:00,14:00,6,ACAP,Saturday
SHIFT_0106,2024-01-27,10:00,18:00,9,ACAP,Saturday
SHIFT_0107,2024-01-27,14:00,22:00,14,ACAP,Saturday
SHIFT_0108,2024-01-27,18:00,02:00,4,ACAP,Saturday
SHIFT_0109,2024-01-28,06:00,14:00,6,ACAP,Sunday
SHIFT_0110,2024-01-28,10:00,18:00,9,ACAP,Sunday
SHIFT_0111,2024-01-28,14:00,22:00,14,ACAP,Sunday
SHIFT_0112,2024-01-28,18:00,02:00,4,ACAP,Sunday
SHIFT_0113,2024-01-29,06:00,14:00,8,ACAP,Monday
SHIFT_0114,2024-01-29,10:00,18:00,12,ACAP,Monday
SHIFT_0115,2024-01-29,14:00,22:00,18,ACAP,Monday
SHIFT_0116,2024-01-29,18:00,02:00,6,ACAP,Monday
SHIFT_0117,2024-01-30,06:00,14:00,8,ACAP,Tuesday
SHIFT_0118,2024-01-30,10:00,18:00,12,ACAP,Tuesday
SHIFT_0119,2024-01-30,14:00,22:00,18,ACAP,Tuesday
SHIFT_0120,2024-01-30,18:00,02:00,6,ACAP,Tuesday
