flight_id,date,arrival_time,pax_total,pax_acaps,terminal,gate_id,day_of_week,season
TS599,2024-01-03,09:30,186,9,T1,E80,Wednesday,Winter
BA110,2024-01-03,12:15,101,2,T1,E85,Wednesday,Winter
LH668,2024-01-03,06:45,285,19,T1,E88,Wednesday,Winter
AC195,2024-01-03,07:15,223,15,T1,E80,Wednesday,Winter
DL584,2024-01-03,16:30,188,9,T1,E90,Wednesday,Winter
DL460,2024-01-03,19:45,149,4,T1,E78,Wednesday,Winter
WS838,2024-01-03,06:30,150,10,T1,E75,Wednesday,Winter
F8321,2024-01-03,13:30,230,11,T1,E90,Wednesday,Winter
UA202,2024-01-03,06:30,178,9,T1,E80,Wednesday,Winter
AC825,2024-01-03,14:15,150,3,T1,E70,Wednesday,Winter
BA399,2024-01-03,19:15,243,11,T1,E88,Wednesday,Winter
WS993,2024-01-03,07:30,240,14,T1,E82,Wednesday,Winter
TS152,2024-01-03,08:45,149,10,T1,E85,Wednesday,Winter
LH175,2024-01-03,13:00,118,2,T1,E80,Wednesday,Winter
WS354,2024-01-03,09:45,275,17,T1,E78,Wednesday,Winter
BA489,2024-01-03,15:45,156,7,T1,E85,Wednesday,Winter
UA682,2024-01-03,19:00,236,11,T1,E72,Wednesday,Winter
F8740,2024-01-03,09:30,289,12,T1,E78,Wednesday,Winter
TS665,2024-01-03,09:15,120,6,T1,E88,Wednesday,Winter
UA133,2024-01-03,11:30,300,15,T1,E88,Wednesday,Winter
WS803,2024-01-03,11:30,280,17,T1,E78,Wednesday,Winter
AA217,2024-01-03,15:15,245,5,T1,E80,Wednesday,Winter
TS173,2024-01-03,07:15,198,12,T1,E80,Wednesday,Winter
LH227,2024-01-03,17:30,183,8,T1,E90,Wednesday,Winter
BA605,2024-01-03,14:00,233,4,T1,E85,Wednesday,Winter
DL718,2024-01-03,08:00,143,7,T1,E70,Wednesday,Winter
UA690,2024-01-03,11:15,240,14,T1,E88,Wednesday,Winter
UA285,2024-01-03,14:45,242,10,T1,E72,Wednesday,Winter
LH456,2024-01-03,16:30,162,6,T1,E75,Wednesday,Winter
DL521,2024-01-03,18:45,153,6,T1,E85,Wednesday,Winter
BA137,2024-01-03,16:00,160,4,T1,E72,Wednesday,Winter
AA985,2024-01-03,17:00,248,11,T1,E88,Wednesday,Winter
AA155,2024-01-03,06:30,279,19,T1,E88,Wednesday,Winter
AC308,2024-01-03,10:15,193,11,T1,E88,Wednesday,Winter
WS129,2024-01-03,20:15,120,3,T1,E70,Wednesday,Winter
BA517,2024-01-04,11:15,149,8,T1,E72,Thursday,Winter
TS610,2024-01-04,21:30,210,8,T1,E85,Thursday,Winter
LH583,2024-01-04,07:45,261,11,T1,E78,Thursday,Winter
BA864,2024-01-04,11:00,190,13,T1,E85,Thursday,Winter
DL906,2024-01-04,16:30,80,2,T1,E80,Thursday,Winter
LH986,2024-01-04,07:45,257,15,T1,E82,Thursday,Winter
BA881,2024-01-04,15:45,196,9,T1,E78,Thursday,Winter
F8685,2024-01-04,13:15,185,3,T1,E88,Thursday,Winter
AA495,2024-01-04,19:15,206,10,T1,E75,Thursday,Winter
BA704,2024-01-04,06:00,232,10,T1,E88,Thursday,Winter
AC839,2024-01-04,06:45,287,22,T1,E72,Thursday,Winter
LH900,2024-01-04,09:30,279,18,T1,E72,Thursday,Winter
DL972,2024-01-04,21:45,161,6,T1,E88,Thursday,Winter
BA136,2024-01-04,19:00,140,5,T1,E80,Thursday,Winter
F8864,2024-01-04,11:45,145,10,T1,E72,Thursday,Winter
LH270,2024-01-04,18:30,87,1,T1,E70,Thursday,Winter
UA467,2024-01-04,11:45,157,7,T1,E85,Thursday,Winter
TS274,2024-01-04,10:00,276,20,T1,E78,Thursday,Winter
LH697,2024-01-04,06:15,238,15,T1,E88,Thursday,Winter
UA782,2024-01-04,07:45,193,12,T1,E75,Thursday,Winter
WS552,2024-01-04,08:30,283,22,T1,E80,Thursday,Winter
LH965,2024-01-04,08:15,218,16,T1,E72,Thursday,Winter
F8490,2024-01-04,13:30,227,6,T1,E80,Thursday,Winter
AC949,2024-01-04,19:45,150,3,T1,E70,Thursday,Winter
LH952,2024-01-04,06:15,275,19,T1,E78,Thursday,Winter
F8735,2024-01-04,08:15,280,12,T1,E70,Thursday,Winter
UA907,2024-01-04,14:00,228,7,T1,E75,Thursday,Winter
WS402,2024-01-04,11:45,164,7,T1,E90,Thursday,Winter
DL643,2024-01-04,16:30,122,3,T1,E88,Thursday,Winter
UA864,2024-01-04,07:00,239,18,T1,E75,Thursday,Winter
F8980,2024-01-04,21:45,222,6,T1,E85,Thursday,Winter
AC370,2024-01-04,14:00,196,6,T1,E80,Thursday,Winter
AA942,2024-01-04,21:30,107,4,T1,E88,Thursday,Winter
AC734,2024-01-04,17:30,236,6,T1,E72,Thursday,Winter
LH817,2024-01-04,08:45,149,6,T1,E70,Thursday,Winter
UA604,2024-01-04,08:00,180,13,T1,E75,Thursday,Winter
AA564,2024-01-04,11:45,270,18,T1,E75,Thursday,Winter
AA770,2024-01-04,06:45,277,15,T1,E80,Thursday,Winter
AC806,2024-01-04,11:15,233,13,T1,E78,Thursday,Winter
DL201,2024-01-04,22:30,219,10,T1,E82,Thursday,Winter
AC507,2024-01-04,11:15,151,11,T1,E88,Thursday,Winter
WS778,2024-01-04,09:00,132,9,T1,E78,Thursday,Winter
TS905,2024-01-04,12:15,97,4,T1,E90,Thursday,Winter
F8700,2024-01-04,09:15,204,14,T1,E70,Thursday,Winter
UA979,2024-01-04,06:15,258,12,T1,E75,Thursday,Winter
WS776,2024-01-05,09:15,123,6,T1,E78,Friday,Winter
DL116,2024-01-05,10:30,133,5,T1,E85,Friday,Winter
BA216,2024-01-05,08:45,234,16,T1,E90,Friday,Winter
WS562,2024-01-05,16:15,237,5,T1,E90,Friday,Winter
UA569,2024-01-05,22:00,95,4,T1,E85,Friday,Winter
AA802,2024-01-05,07:45,233,10,T1,E72,Friday,Winter
DL722,2024-01-05,06:00,152,7,T1,E90,Friday,Winter
DL490,2024-01-05,16:30,196,6,T1,E85,Friday,Winter
WS912,2024-01-05,19:00,247,9,T1,E90,Friday,Winter
F8540,2024-01-05,15:15,185,5,T1,E88,Friday,Winter
AA525,2024-01-05,06:30,229,12,T1,E80,Friday,Winter
DL256,2024-01-05,22:45,97,2,T1,E72,Friday,Winter
WS542,2024-01-05,06:30,153,9,T1,E90,Friday,Winter
BA437,2024-01-05,20:00,185,5,T1,E85,Friday,Winter
AC394,2024-01-05,16:30,170,3,T1,E90,Friday,Winter
F8258,2024-01-05,19:45,137,6,T1,E82,Friday,Winter
BA476,2024-01-05,08:30,266,13,T1,E85,Friday,Winter
BA885,2024-01-05,19:00,235,11,T1,E80,Friday,Winter
AC284,2024-01-05,10:30,206,11,T1,E75,Friday,Winter
TS679,2024-01-05,19:45,97,2,T1,E70,Friday,Winter
WS864,2024-01-05,13:15,176,5,T1,E82,Friday,Winter
TS478,2024-01-05,09:30,265,16,T1,E70,Friday,Winter
TS261,2024-01-05,19:00,100,2,T1,E85,Friday,Winter
LH721,2024-01-05,14:45,149,3,T1,E90,Friday,Winter
WS453,2024-01-05,13:00,152,6,T1,E88,Friday,Winter
BA783,2024-01-05,09:00,176,9,T1,E70,Friday,Winter
AC309,2024-01-05,08:15,155,10,T1,E80,Friday,Winter
DL222,2024-01-05,06:45,230,10,T1,E85,Friday,Winter
BA820,2024-01-05,11:30,138,7,T1,E70,Friday,Winter
AA119,2024-01-05,16:00,160,5,T1,E85,Friday,Winter
AA396,2024-01-05,08:45,125,9,T1,E75,Friday,Winter
LH951,2024-01-05,18:30,102,3,T1,E72,Friday,Winter
F8546,2024-01-05,15:45,214,4,T1,E80,Friday,Winter
DL326,2024-01-05,06:15,139,8,T1,E72,Friday,Winter
BA622,2024-01-05,06:30,209,14,T1,E75,Friday,Winter
F8205,2024-01-05,06:30,170,7,T1,E75,Friday,Winter
WS281,2024-01-05,20:45,198,8,T1,E88,Friday,Winter
DL984,2024-01-05,20:30,118,3,T1,E88,Friday,Winter
LH746,2024-01-05,08:30,271,11,T1,E90,Friday,Winter
WS417,2024-01-05,17:45,89,1,T1,E80,Friday,Winter
WS760,2024-01-05,11:45,238,15,T1,E70,Friday,Winter
LH929,2024-01-05,13:15,162,6,T1,E90,Friday,Winter
TS163,2024-01-05,15:00,167,8,T1,E72,Friday,Winter
BA761,2024-01-05,10:00,183,12,T1,E88,Friday,Winter
BA635,2024-01-05,18:15,173,5,T1,E80,Friday,Winter
AA518,2024-01-06,07:00,281,18,T1,E72,Saturday,Winter
DL196,2024-01-06,17:45,152,4,T1,E75,Saturday,Winter
DL183,2024-01-06,14:15,169,4,T1,E85,Saturday,Winter
TS709,2024-01-06,20:00,159,5,T1,E82,Saturday,Winter
TS786,2024-01-06,19:00,245,9,T1,E90,Saturday,Winter
DL118,2024-01-06,10:30,166,12,T1,E82,Saturday,Winter
LH296,2024-01-06,10:15,159,6,T1,E72,Saturday,Winter
BA889,2024-01-06,15:00,249,7,T1,E75,Saturday,Winter
AA257,2024-01-06,08:15,297,21,T1,E75,Saturday,Winter
LH144,2024-01-06,16:30,140,6,T1,E80,Saturday,Winter
LH339,2024-01-06,14:15,159,7,T1,E88,Saturday,Winter
F8476,2024-01-06,21:45,198,8,T1,E85,Saturday,Winter
BA640,2024-01-06,17:15,131,5,T1,E75,Saturday,Winter
UA153,2024-01-06,22:45,175,6,T1,E72,Saturday,Winter
BA971,2024-01-06,09:30,141,9,T1,E80,Saturday,Winter
LH625,2024-01-06,06:45,143,11,T1,E78,Saturday,Winter
LH457,2024-01-06,09:45,133,7,T1,E82,Saturday,Winter
F8495,2024-01-06,10:30,177,7,T1,E72,Saturday,Winter
DL910,2024-01-06,06:15,129,6,T1,E88,Saturday,Winter
TS877,2024-01-06,20:45,194,7,T1,E72,Saturday,Winter
AC362,2024-01-06,09:15,260,20,T1,E90,Saturday,Winter
AA213,2024-01-06,06:15,197,8,T1,E78,Saturday,Winter
AA754,2024-01-06,19:45,96,2,T1,E88,Saturday,Winter
BA116,2024-01-06,20:15,116,3,T1,E70,Saturday,Winter
DL346,2024-01-06,13:45,127,5,T1,E72,Saturday,Winter
BA469,2024-01-06,08:00,219,16,T1,E70,Saturday,Winter
AA482,2024-01-06,08:00,211,15,T1,E82,Saturday,Winter
F8850,2024-01-06,19:00,228,9,T1,E82,Saturday,Winter
TS145,2024-01-06,09:30,284,13,T1,E88,Saturday,Winter
LH746,2024-01-06,11:15,136,9,T1,E88,Saturday,Winter
AC400,2024-01-07,07:00,171,12,T1,E82,Sunday,Winter
UA627,2024-01-07,14:45,144,3,T1,E78,Sunday,Winter
UA465,2024-01-07,06:30,189,8,T1,E82,Sunday,Winter
AA509,2024-01-07,14:45,166,8,T1,E88,Sunday,Winter
LH476,2024-01-07,12:30,101,4,T1,E72,Sunday,Winter
AA716,2024-01-07,11:30,202,8,T1,E82,Sunday,Winter
UA413,2024-01-07,15:45,122,4,T1,E82,Sunday,Winter
LH143,2024-01-07,09:45,190,12,T1,E70,Sunday,Winter
WS787,2024-01-07,21:45,173,6,T1,E75,Sunday,Winter
AC246,2024-01-07,17:45,88,2,T1,E78,Sunday,Winter
DL470,2024-01-07,13:00,234,5,T1,E88,Sunday,Winter
DL480,2024-01-07,14:00,226,5,T1,E82,Sunday,Winter
AA421,2024-01-07,18:30,143,6,T1,E70,Sunday,Winter
TS611,2024-01-07,12:45,223,5,T1,E80,Sunday,Winter
LH319,2024-01-07,18:30,205,5,T1,E75,Sunday,Winter
WS562,2024-01-07,10:45,142,10,T1,E82,Sunday,Winter
DL826,2024-01-07,08:30,196,14,T1,E75,Sunday,Winter
DL620,2024-01-07,10:00,171,12,T1,E78,Sunday,Winter
LH126,2024-01-07,10:30,239,17,T1,E90,Sunday,Winter
TS726,2024-01-07,11:00,199,11,T1,E88,Sunday,Winter
BA520,2024-01-07,16:00,112,5,T1,E72,Sunday,Winter
LH577,2024-01-07,22:30,112,5,T1,E90,Sunday,Winter
TS886,2024-01-07,10:45,248,18,T1,E70,Sunday,Winter
WS630,2024-01-07,07:30,162,7,T1,E78,Sunday,Winter
DL631,2024-01-07,06:00,184,8,T1,E90,Sunday,Winter
UA228,2024-01-07,20:30,237,8,T1,E90,Sunday,Winter
TS706,2024-01-07,14:15,123,4,T1,E82,Sunday,Winter
AC945,2024-01-07,09:00,131,10,T1,E80,Sunday,Winter
F8885,2024-01-07,13:45,238,9,T1,E88,Sunday,Winter
BA396,2024-01-07,22:30,203,5,T1,E85,Sunday,Winter
UA564,2024-01-08,09:00,160,9,T1,E88,Monday,Winter
LH308,2024-01-08,07:15,200,14,T1,E82,Monday,Winter
DL508,2024-01-08,10:30,251,15,T1,E82,Monday,Winter
F8577,2024-01-08,09:30,235,11,T1,E72,Monday,Winter
AC397,2024-01-08,13:45,143,6,T1,E75,Monday,Winter
DL691,2024-01-08,22:30,128,5,T1,E88,Monday,Winter
BA578,2024-01-08,15:30,207,4,T1,E85,Monday,Winter
BA568,2024-01-08,06:15,269,14,T1,E70,Monday,Winter
UA606,2024-01-08,16:45,153,5,T1,E72,Monday,Winter
AA237,2024-01-08,09:30,223,12,T1,E85,Monday,Winter
AC683,2024-01-08,17:15,172,6,T1,E72,Monday,Winter
AA616,2024-01-08,15:30,239,9,T1,E72,Monday,Winter
TS199,2024-01-08,14:30,166,6,T1,E82,Monday,Winter
TS303,2024-01-08,17:45,208,4,T1,E70,Monday,Winter
TS830,2024-01-08,06:45,252,14,T1,E90,Monday,Winter
TS435,2024-01-08,18:30,121,3,T1,E80,Monday,Winter
DL619,2024-01-08,17:45,224,6,T1,E70,Monday,Winter
DL439,2024-01-08,21:00,186,6,T1,E70,Monday,Winter
LH371,2024-01-08,18:15,93,3,T1,E75,Monday,Winter
BA744,2024-01-08,22:45,117,5,T1,E78,Monday,Winter
AC686,2024-01-08,19:00,128,2,T1,E82,Monday,Winter
AA255,2024-01-08,16:15,185,6,T1,E88,Monday,Winter
AC822,2024-01-08,11:15,263,13,T1,E88,Monday,Winter
BA485,2024-01-08,10:15,237,18,T1,E82,Monday,Winter
BA462,2024-01-08,21:30,236,8,T1,E78,Monday,Winter
UA671,2024-01-08,08:15,196,13,T1,E78,Monday,Winter
LH424,2024-01-08,13:30,223,10,T1,E80,Monday,Winter
UA224,2024-01-08,13:45,181,8,T1,E75,Monday,Winter
UA143,2024-01-08,06:00,208,16,T1,E80,Monday,Winter
LH319,2024-01-08,07:30,263,17,T1,E75,Monday,Winter
WS730,2024-01-08,15:15,142,3,T1,E90,Monday,Winter
F8753,2024-01-08,11:00,145,8,T1,E88,Monday,Winter
WS797,2024-01-08,11:00,260,20,T1,E75,Monday,Winter
AA768,2024-01-08,12:45,246,6,T1,E80,Monday,Winter
DL392,2024-01-08,22:00,102,4,T1,E78,Monday,Winter
BA856,2024-01-08,22:00,124,4,T1,E75,Monday,Winter
AC956,2024-01-08,14:45,127,6,T1,E80,Monday,Winter
AC109,2024-01-08,08:00,205,10,T1,E90,Monday,Winter
BA605,2024-01-08,11:45,189,9,T1,E72,Monday,Winter
DL266,2024-01-08,16:30,127,2,T1,E82,Monday,Winter
UA681,2024-01-08,21:15,124,4,T1,E85,Monday,Winter
AA627,2024-01-08,11:00,222,14,T1,E75,Monday,Winter
TS588,2024-01-08,11:15,121,6,T1,E78,Monday,Winter
LH871,2024-01-08,10:30,197,12,T1,E70,Monday,Winter
UA769,2024-01-08,10:15,135,9,T1,E88,Monday,Winter
UA263,2024-01-09,15:30,110,4,T1,E80,Tuesday,Winter
DL729,2024-01-09,10:15,154,9,T1,E88,Tuesday,Winter
DL525,2024-01-09,19:45,217,9,T1,E78,Tuesday,Winter
F8796,2024-01-09,16:00,214,7,T1,E82,Tuesday,Winter
WS677,2024-01-09,08:00,260,19,T1,E78,Tuesday,Winter
BA253,2024-01-09,09:30,253,14,T1,E78,Tuesday,Winter
LH193,2024-01-09,17:45,94,3,T1,E90,Tuesday,Winter
AA567,2024-01-09,12:00,223,7,T1,E80,Tuesday,Winter
AC505,2024-01-09,08:00,175,11,T1,E70,Tuesday,Winter
AA452,2024-01-09,19:00,218,10,T1,E72,Tuesday,Winter
LH132,2024-01-09,06:45,166,11,T1,E85,Tuesday,Winter
DL491,2024-01-09,15:45,176,3,T1,E90,Tuesday,Winter
TS769,2024-01-09,08:00,165,13,T1,E85,Tuesday,Winter
BA230,2024-01-09,10:00,125,9,T1,E88,Tuesday,Winter
BA534,2024-01-09,14:45,138,3,T1,E82,Tuesday,Winter
TS382,2024-01-09,06:00,128,9,T1,E85,Tuesday,Winter
AC346,2024-01-09,08:00,145,9,T1,E88,Tuesday,Winter
AC350,2024-01-09,11:45,232,11,T1,E78,Tuesday,Winter
AC243,2024-01-09,16:30,139,6,T1,E82,Tuesday,Winter
DL342,2024-01-09,08:15,289,17,T1,E85,Tuesday,Winter
UA381,2024-01-09,07:15,280,18,T1,E90,Tuesday,Winter
LH148,2024-01-09,08:45,254,13,T1,E85,Tuesday,Winter
AA252,2024-01-09,08:45,167,11,T1,E88,Tuesday,Winter
F8969,2024-01-09,10:30,156,11,T1,E70,Tuesday,Winter
BA522,2024-01-09,17:15,179,4,T1,E78,Tuesday,Winter
DL762,2024-01-09,10:45,214,9,T1,E78,Tuesday,Winter
AC374,2024-01-09,12:00,98,2,T1,E90,Tuesday,Winter
F8590,2024-01-09,08:30,197,15,T1,E70,Tuesday,Winter
F8294,2024-01-09,09:45,182,12,T1,E78,Tuesday,Winter
AA345,2024-01-09,16:30,152,4,T1,E90,Tuesday,Winter
DL415,2024-01-09,09:30,251,18,T1,E88,Tuesday,Winter
WS922,2024-01-09,22:45,161,7,T1,E82,Tuesday,Winter
DL523,2024-01-09,11:15,157,6,T1,E90,Tuesday,Winter
AA402,2024-01-09,07:15,204,10,T1,E78,Tuesday,Winter
LH663,2024-01-09,18:30,145,6,T1,E88,Tuesday,Winter
LH571,2024-01-09,09:30,163,7,T1,E90,Tuesday,Winter
LH288,2024-01-09,15:00,214,4,T1,E72,Tuesday,Winter
AC882,2024-01-09,06:45,155,11,T1,E78,Tuesday,Winter
WS824,2024-01-09,07:00,175,10,T1,E82,Tuesday,Winter
AC732,2024-01-09,21:45,248,8,T1,E70,Tuesday,Winter
BA664,2024-01-09,16:00,84,3,T1,E80,Tuesday,Winter
BA393,2024-01-09,08:45,165,7,T1,E72,Tuesday,Winter
BA252,2024-01-09,06:15,278,16,T1,E82,Tuesday,Winter
UA914,2024-01-09,14:00,175,8,T1,E88,Tuesday,Winter
F8813,2024-01-09,10:30,295,21,T1,E72,Tuesday,Winter
AC195,2024-01-10,15:45,176,6,T1,E70,Wednesday,Winter
AC819,2024-01-10,09:00,247,18,T1,E82,Wednesday,Winter
WS640,2024-01-10,11:15,174,13,T1,E88,Wednesday,Winter
UA147,2024-01-10,09:30,259,16,T1,E70,Wednesday,Winter
TS970,2024-01-10,10:00,173,10,T1,E85,Wednesday,Winter
WS406,2024-01-10,08:15,265,19,T1,E85,Wednesday,Winter
BA439,2024-01-10,13:15,100,3,T1,E82,Wednesday,Winter
AC200,2024-01-10,13:15,99,2,T1,E85,Wednesday,Winter
DL130,2024-01-10,21:30,195,6,T1,E82,Wednesday,Winter
BA484,2024-01-10,13:15,229,9,T1,E72,Wednesday,Winter
UA917,2024-01-10,07:00,141,7,T1,E85,Wednesday,Winter
TS857,2024-01-10,13:30,172,3,T1,E70,Wednesday,Winter
UA555,2024-01-10,10:30,146,6,T1,E75,Wednesday,Winter
AA559,2024-01-10,17:45,106,2,T1,E82,Wednesday,Winter
BA195,2024-01-10,16:30,178,3,T1,E85,Wednesday,Winter
AA897,2024-01-10,10:15,266,16,T1,E85,Wednesday,Winter
TS242,2024-01-10,10:30,188,11,T1,E72,Wednesday,Winter
TS545,2024-01-10,11:45,196,11,T1,E72,Wednesday,Winter
DL357,2024-01-10,07:45,272,17,T1,E88,Wednesday,Winter
WS238,2024-01-10,08:00,221,11,T1,E85,Wednesday,Winter
DL550,2024-01-10,06:45,286,22,T1,E75,Wednesday,Winter
UA428,2024-01-10,17:15,202,5,T1,E85,Wednesday,Winter
DL398,2024-01-10,18:45,227,9,T1,E82,Wednesday,Winter
AA387,2024-01-10,14:30,109,5,T1,E78,Wednesday,Winter
BA284,2024-01-10,22:00,198,9,T1,E78,Wednesday,Winter
LH916,2024-01-10,07:00,224,14,T1,E75,Wednesday,Winter
UA347,2024-01-10,08:15,228,16,T1,E72,Wednesday,Winter
LH712,2024-01-10,13:45,216,7,T1,E85,Wednesday,Winter
BA137,2024-01-10,10:00,147,10,T1,E82,Wednesday,Winter
TS762,2024-01-10,18:00,224,11,T1,E85,Wednesday,Winter
DL915,2024-01-10,13:00,82,1,T1,E78,Wednesday,Winter
BA864,2024-01-10,12:15,194,6,T1,E88,Wednesday,Winter
BA254,2024-01-10,08:00,243,10,T1,E85,Wednesday,Winter
